"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
0.737209885214835,0.0160263018524964,0.0139096204757516,0.0254210305246495,0.0150450996982619,0.00982946513619779,0.0294883954085934,0.0254210305246495,0.0567084527088334,0.0153585392753091,0.0199245914922928,0.0189028175696111,0.016754770118519
0.0175970348919085,0.809463605027791,0.00952310123562108,0.0385458859537044,0.00930417936813553,0.0261117291944449,0.0128486286512348,0.0137197221191151,0.0207554770519947,0.0098715073783877,0.0103777385259973,0.0107928480670372,0.0110885425346273
0.0124197444579181,0.00774407595611362,0.658246456269658,0.00854865527622932,0.0411404035168536,0.00577409172166366,0.0219415485423219,0.0235088020096306,0.0129067932601894,0.0940352080385225,0.0243794983803577,0.0387203797805681,0.0506343427899737
0.0272372362027538,0.0376133261847552,0.0102581798685696,0.789879849879859,0.0103931559194718,0.0164558302058304,0.0154878401937227,0.0157975969975972,0.0292548092548096,0.0109705534705536,0.0123418726543728,0.0123418726543728,0.0119678765133312
0.0138772640916652,0.00781593035047811,0.0424991212807247,0.008947183427521,0.679985940491596,0.00581184564522732,0.0261533054035229,0.0226661980163865,0.0135997188098319,0.0566654950409663,0.0424991212807247,0.0485704243208283,0.0309084518405271
0.011512738851581,0.0278534004473735,0.00757417029709279,0.0179886544555954,0.00737996080229554,0.863455413868578,0.00928446681579116,0.00981199333941566,0.0125138465778055,0.00777887760241962,0.00799495753582016,0.00830245590258248,0.00854906350364929
0.0268890132900401,0.0106702433690635,0.0224075110750334,0.0131808888676667,0.0258548204711924,0.00722822937904303,0.672225332251002,0.0517096409423848,0.0268890132900401,0.0268890132900401,0.0420140832656876,0.0448150221500668,0.0292271883587392
0.0235386800188699,0.011569859670292,0.024379347162401,0.0136524344109446,0.0227540573515743,0.0077570650062185,0.0525093631190175,0.682621720547228,0.0284425716894678,0.0284425716894678,0.0262546815595088,0.0379234289192904,0.0401542188557193
0.0560082791943539,0.018669426398118,0.0142766201867961,0.026966949241726,0.014562152590532,0.0105522844858928,0.029124305181064,0.0303378178969417,0.728107629526601,0.0158284267288392,0.018202690738165,0.0191607270928053,0.018202690738165
0.0129784942714526,0.0075971673784113,0.088995389289961,0.00865232951430176,0.0519139770858106,0.00561232184711466,0.0249187090011891,0.0259569885429053,0.013542776631081,0.622967725029727,0.0283167147740785,0.056633429548157,0.0519139770858106
0.0187148268086856,0.00887754605027393,0.0256462441452358,0.0108195092487714,0.0432780369950854,0.00641156103630895,0.0432780369950854,0.0266326381508218,0.0173112147980342,0.0314749359964258,0.692448591921367,0.0494606137086691,0.0256462441452358
0.0162617299399993,0.00845609956879964,0.0373063216270572,0.00990949168218707,0.0453005334042838,0.00609814872749974,0.0422804978439982,0.0352337482033318,0.0166896702015782,0.0576552243327248,0.0453005334042838,0.634207467659973,0.0453005334042838
0.0151217076187671,0.00911445390720206,0.0511811642481346,0.0100811384125114,0.0302434152375341,0.00658767460619555,0.02892848414025,0.0391385373662206,0.0166338783806438,0.0554462612688125,0.0246427827861389,0.0475253668018393,0.66535513522575
