LHA_1,LHA_2,DIST
Kootenay Lake,Cranbrook,98949.2963
Kootenay Lake,Fernie,146108.535
Nelson,Hope,296271.55
Nelson,Merritt,256020.888
Nelson,Central Okanagan,159228.793
Nelson,Vernon,160103.115
Nelson,Armstrong/Spallumcheen,169390.658
Nelson,Enderby,175982.443
Nelson,Salmon Arm,195675.961
Nelson,Kamloops,249667.384
Nelson,Southern Okanagan,161419.217
Nelson,Grand Forks,91768.9823
Nelson,Keremeos,185250.361
Nelson,Princeton,226725.345
Nelson,Trail,49294.7202
Nelson,Kettle Valley,122432.918
Nelson,Summerland,167652.553
Nelson,Penticton,161305.409
Nelson,Castlegar,29646.2451
Nelson,Creston,73419.1148
Nelson,Revelstoke,178530.203
Nelson,Golden,205355.759
Nelson,Windermere,148700.978
Nelson,Arrow Lakes,76815.0589
Nelson,Kootenay Lake,52492.7342
Nelson,Kimberley,100346.535
Nelson,Cranbrook,115163.71
Nelson,Cranbrook,115163.71
Nelson,Fernie,170090.232
Castlegar,Agassiz/Harrison,301727.333
Castlegar,Hope,274339.399
Castlegar,Merritt,241433.572
Castlegar,South Cariboo,301961.904
Castlegar,Central Okanagan,145419.461
Castlegar,Vernon,154337.666
Castlegar,Armstrong/Spallumcheen,166515.789
Castlegar,Enderby,176404.517
Castlegar,Salmon Arm,196341.582
Castlegar,Kamloops,243576.449
Castlegar,Southern Okanagan,136090.241
Castlegar,Grand Forks,62640.1263
Castlegar,Keremeos,161230.206
Castlegar,Princeton,205733.736
Castlegar,Trail,23782.5602
Castlegar,Kettle Valley,98640.9847
Castlegar,Summerland,148389.943
Castlegar,Penticton,140350.676
Castlegar,Creston,86298.4837
Castlegar,Revelstoke,191254.75
Castlegar,Golden,228271.252
Castlegar,Windermere,177917.595
Castlegar,Arrow Lakes,91022.0699
Castlegar,Kootenay Lake,80943.3629
Castlegar,Nelson,29646.2451
Castlegar,Kimberley,127452.753
Castlegar,Cranbrook,139560.932
Castlegar,Cranbrook,139560.932
Castlegar,Fernie,195313.483
Arrow Lakes,Hope,278124.623
Arrow Lakes,Merritt,216967.702
Arrow Lakes,South Cariboo,263596.853
Arrow Lakes,Central Okanagan,127120.175
Arrow Lakes,Vernon,107600.97
Arrow Lakes,Armstrong/Spallumcheen,109685.194
Arrow Lakes,Enderby,109735.922
Arrow Lakes,Salmon Arm,128013.361
Arrow Lakes,Kamloops,191384.027
Arrow Lakes,North Thompson,237447.302
Arrow Lakes,100 Mile House,298669.375
Arrow Lakes,Southern Okanagan,167365.801
Arrow Lakes,Grand Forks,129937.484
Arrow Lakes,Keremeos,182840.796
Arrow Lakes,Princeton,209156.016
Arrow Lakes,Trail,114658.76
Arrow Lakes,Kettle Valley,129122.052
Arrow Lakes,Summerland,150449.812
Arrow Lakes,Penticton,150637.959
Arrow Lakes,Castlegar,91022.0699
Arrow Lakes,Creston,143282.384
Arrow Lakes,Revelstoke,101788.326
Arrow Lakes,Golden,142881.665
Arrow Lakes,Windermere,128809.738
Arrow Lakes,Kootenay Lake,59208.7054
Arrow Lakes,Nelson,76815.0589
Arrow Lakes,Kimberley,134407.646
Arrow Lakes,Cranbrook,158155.778
Arrow Lakes,Cranbrook,158155.778
Arrow Lakes,Fernie,203873.061
Trail,Agassiz/Harrison,301647
Trail,Hope,275366.262
Trail,Merritt,250268.26
Trail,Central Okanagan,156239.233
Trail,Vernon,170544.944
Trail,Armstrong/Spallumcheen,184145.211
Trail,Enderby,195532.323
Trail,Salmon Arm,215412.387
Trail,Kamloops,258650.906
Trail,Southern Okanagan,134056.511
Trail,Grand Forks,54222.5094
Trail,Keremeos,160716.048
Trail,Princeton,208513.69
Trail,Kettle Valley,100314.831
